transcript_id,bw2-FR1,bw2-FR2,bw2-FR3,bw2-R1,bw2-R2,bw2-R3
MSTRG.9272.1,1086,1653,1317,1374,1151,1354
rna-NR_139533.1,0,0,0,0,0,0
rna-NR_139887.1,0,0,0,0,0,0
rna-NM_101338.4,61,65,88,102,50,112
rna-NM_001036003.2,0,0,0,0,0,0
rna-NM_001334993.1,4,0,0,0,0,0
MSTRG.12615.1,588,810,785,544,429,661
MSTRG.8067.1,25,11,9,123,37,75
MSTRG.9809.1,1271,1801,1556,1634,1467,2530
rna-gnl|JCVI|mRNA.AT1G43830.1,0,0,0,0,0,0
rna-NM_001036013.1,0,0,0,0,0,0
rna-NM_001334866.1,0,0,0,0,0,0
MSTRG.18421.1,20,25,27,21,31,74
rna-NM_001333075.1,0,0,0,0,0,0
rna-NM_001124033.2,0,0,0,0,0,0
MSTRG.3366.3,1422,2004,1659,1729,1245,1383
rna-NM_104916.4,79,110,72,112,120,150
rna-NM_202386.2,0,0,0,0,0,0
rna-NM_102221.5,0,0,0,0,0,0
MSTRG.6996.1,15,27,35,53,29,318
rna-NM_100566.2,3,6,0,3,0,0
rna-NM_001331291.1,0,0,0,0,0,0
MSTRG.11101.1,116,182,177,529,358,431
rna-NM_101302.3,0,0,0,0,0,0
MSTRG.8077.1,96,98,87,387,301,311
MSTRG.17199.1,373,421,488,157,121,313
rna-NM_202418.2,653,862,702,681,602,649
MSTRG.8599.1,10,10,15,27,30,69
MSTRG.7303.1,118,192,110,140,94,361
MSTRG.12030.1,35,60,33,50,25,85
rna-NM_001198046.2,0,238,0,0,0,0
rna-NM_001334880.1,0,0,0,0,0,0
MSTRG.12502.1,119,167,154,320,366,391
MSTRG.10626.1,1783,2730,2088,1680,1447,1791
MSTRG.2950.2,40341,58526,47389,7452,6260,5439
MSTRG.8838.1,126,215,198,287,237,264
MSTRG.12483.1,467,708,591,611,605,560
MSTRG.6716.1,11,11,21,14,18,108
rna-NM_101680.3,0,0,0,0,0,0
MSTRG.6786.1,1495,2962,2685,8691,7705,8450
MSTRG.7080.1,195,441,274,137,126,144
MSTRG.5748.1,339,440,375,449,433,460
MSTRG.5538.1,2,6,6,27,25,30
MSTRG.2477.3,167,238,178,324,343,283
MSTRG.2477.2,25,28,50,41,56,136
rna-gnl|JCVI|mRNA.AT1G07580.1,0,0,0,2,0,0
MSTRG.9813.1,24,23,14,51,18,55
rna-NR_139274.1,2,1,2,3,13,4
MSTRG.7313.1,42,78,58,128,63,447
MSTRG.10486.1,1479,2136,1940,865,896,1023
rna-gnl|JCVI|mRNA.AT1G38710.1,3,0,0,0,0,0
rna-NM_106315.3,9,14,19,81,33,116
MSTRG.4964.2,20,59,69,51,22,65
MSTRG.11685.1,612,828,735,767,691,815
rna-NR_139822.1,96,98,94,0,0,0
MSTRG.6946.1,73,170,100,163,155,160
MSTRG.18409.1,1270,1756,1648,4891,4136,5446
MSTRG.14334.1,3783,5005,4718,4823,4150,5790
rna-NM_148573.2,0,0,0,0,0,34
MSTRG.9097.1,66,125,85,114,114,397
MSTRG.6617.1,21,41,36,22,26,140
rna-NM_106208.2,0,0,0,24,11,13
MSTRG.5151.1,111,173,162,337,348,495
rna-NM_001123893.2,14213,20130,18674,7132,6847,7321
rna-NM_101436.1,0,0,0,0,0,0
rna-gnl|JCVI|mRNA.AT1G34250.1,0,0,0,0,0,0
MSTRG.3755.2,170,262,237,264,259,343
rna-NM_102878.2,0,0,0,0,0,0
rna-NM_101108.4,395,441,407,194,153,479
MSTRG.13440.1,68,78,62,57,50,211
MSTRG.10301.1,2387,3255,2577,672,665,660
rna-NM_001333443.1,0,0,0,0,0,0
MSTRG.6970.1,19,46,53,233,249,255
MSTRG.8.1,493,185,536,201,787,208
MSTRG.4408.2,15,14,17,76,58,65
MSTRG.11691.1,932,1274,1315,1235,1197,945
rna-NM_104146.4,0,0,0,15,10,15
rna-NM_001332393.1,51,46,50,24,46,29
MSTRG.8300.1,470,682,543,1234,1122,1493
MSTRG.950.4,71,96,53,86,100,71
MSTRG.15342.1,1848,2888,2622,3451,3388,3672
rna-NM_001333609.1,0,0,0,0,0,0
rna-NM_202388.4,0,0,24,0,0,0
rna-NM_103466.5,0,0,0,0,0,0
MSTRG.3753.2,3254,4755,3515,900,779,901
rna-NM_001331622.1,0,0,0,0,0,0
MSTRG.2675.6,793,1119,995,650,529,751
MSTRG.11884.1,62,87,56,58,23,32
MSTRG.5391.1,1281,2115,1731,1460,1356,1555
rna-gnl|WGS:|mrna.AT1G08343-RA,0,0,0,0,0,0
rna-NM_104170.3,31,100,102,23,0,26
MSTRG.2495.4,23,37,20,39,29,222
MSTRG.2495.3,93,58,104,104,98,409
MSTRG.2495.1,685,1069,914,1729,1582,1717
MSTRG.7404.1,1130,1806,1799,3758,3041,3436
MSTRG.12153.1,25,38,33,116,93,73
MSTRG.873.2,25,33,33,45,45,106
MSTRG.873.3,343,456,395,730,702,431
rna-NM_106081.3,0,0,8,0,0,0
MSTRG.7383.1,77,146,118,365,290,333
MSTRG.13381.1,387,430,453,581,484,526
MSTRG.15640.1,93,117,107,109,57,198
MSTRG.12789.1,2404,3704,3066,3730,3730,3993
MSTRG.15029.1,208,198,182,141,89,366
MSTRG.18515.1,724,988,930,1889,1877,1456
rna-NM_202354.1,0,0,0,0,0,0
MSTRG.9271.1,390,707,534,813,646,754
MSTRG.13283.1,681,961,799,927,889,805
MSTRG.12155.1,360,609,510,643,593,576
MSTRG.6948.1,96,136,80,109,85,71
rna-NR_139621.1,0,0,0,0,0,0
MSTRG.13302.1,4,15,12,17,22,10
rna-NR_139026.1,0,0,0,0,0,0
rna-NM_001123836.2,0,0,0,0,0,0
rna-NM_001331909.1,0,0,0,0,0,0
MSTRG.4851.3,123,217,191,447,519,233
MSTRG.4851.5,12,5,18,21,29,54
rna-NM_202135.3,0,0,0,0,0,0
MSTRG.17744.1,3,20,18,40,32,40
MSTRG.6250.1,2930,4409,3823,4975,4711,5907
rna-NM_001333621.1,0,0,0,0,0,0
MSTRG.8890.1,44,88,53,26,17,59
rna-NM_001333148.1,0,0,0,0,0,0
MSTRG.12795.1,140,243,178,618,434,733
rna-NM_001333635.1,0,0,0,0,0,0
MSTRG.14484.1,420,616,570,891,844,870
rna-NM_101555.1,0,0,0,0,0,0
MSTRG.10956.1,24726,33320,27443,7910,5316,7370
MSTRG.8821.1,1601,2325,1891,1900,1914,2003
rna-NM_102580.4,432,584,518,371,448,382
MSTRG.2184.1,1996,3289,2680,2529,2385,2498
MSTRG.2184.3,23,21,24,19,24,35
MSTRG.18721.1,1495,2243,1770,2439,2182,2659
MSTRG.515.2,316,486,411,357,208,395
MSTRG.3501.3,13,19,14,306,255,310
rna-NM_102321.1,0,7,0,17,9,0
rna-NM_100322.5,23,16,28,58,16,60
MSTRG.8201.1,1971,3035,2522,1038,971,881
rna-gnl|WGS:|mrna.AT1G34281-RA,0,0,0,0,0,0
MSTRG.11451.1,63,110,109,793,628,912
MSTRG.408.3,45,50,41,71,32,68
MSTRG.14492.1,3602,5337,4402,2621,2730,2126
rna-NM_001334753.1,0,0,0,0,0,0
rna-NM_001035849.2,0,0,0,0,0,0
rna-NM_101062.4,37,181,0,38,0,833
rna-NM_105262.4,0,0,0,22,0,0
MSTRG.11436.1,7,29,19,119,113,149
rna-gnl|WGS:|mrna.AT1G75261-RA,0,0,0,0,0,0
MSTRG.17310.1,6659,8552,7922,2682,2506,2460
MSTRG.9428.1,158,190,218,402,403,341
rna-NM_103942.3,0,0,0,0,0,0
MSTRG.18735.1,2228,2497,2702,2178,1882,1270
rna-NM_001334072.1,0,7,7,7,0,22
rna-NR_139688.1,0,0,0,0,0,0
MSTRG.2005.3,1175,2012,1660,1730,1617,2203
rna-NM_103965.5,0,0,0,0,0,0
rna-gnl|WGS:|mrna.AT1G26973-RA,0,0,0,0,0,0
MSTRG.15560.1,97,117,125,73,42,321
MSTRG.1339.3,5260,7730,6125,4646,4190,4804
MSTRG.1339.2,345,525,303,47,31,139
rna-NM_105437.5,200,262,195,285,341,376
rna-NM_001333268.1,0,0,0,0,0,0
MSTRG.14830.1,1521,2368,2061,1744,1626,1668
rna-NM_001035936.1,0,0,0,0,0,0
MSTRG.3224.2,552,804,651,926,826,897
MSTRG.8236.1,276,446,381,718,633,778
MSTRG.3133.2,3680,5220,4927,3794,3420,4414
rna-NM_001035855.1,0,0,0,0,0,0
MSTRG.7937.1,25,17,17,155,116,154
MSTRG.13792.1,117,171,174,543,501,408
rna-NM_001333252.1,0,0,0,0,0,0
MSTRG.10054.1,308,493,348,600,572,551
rna-NM_100755.3,0,0,0,0,0,0
MSTRG.13530.1,9,3,3,3,19,42
MSTRG.1062.1,3821,4999,4870,4163,3577,4059
rna-NM_001334454.1,0,0,0,0,0,0
rna-NM_001332854.1,0,0,0,0,0,0
rna-NM_103971.2,126,268,242,209,168,309
rna-NM_179244.2,238,427,259,428,378,1041
MSTRG.12262.1,133,239,175,106,90,106
MSTRG.15913.1,1619,2361,1970,1947,1554,1910
rna-NM_001334272.1,0,0,0,0,0,0
rna-NM_106069.3,105,45,93,66,53,65
rna-NM_001334345.1,0,0,0,0,0,0
MSTRG.681.1,202,363,264,483,373,471
MSTRG.15421.1,3217,4945,3900,5247,4649,6670
MSTRG.14752.1,453,511,484,655,529,1626
MSTRG.16059.1,188,311,201,251,292,247
MSTRG.18308.1,231,322,268,292,241,264
rna-NM_100741.4,0,0,0,0,0,0
MSTRG.5484.1,306,363,351,440,365,495
rna-gnl|WGS:|mrna.AT1G60520-RA,0,0,0,0,0,0
MSTRG.17447.1,708,1041,794,1095,914,1320
MSTRG.5707.1,52,94,89,305,341,250
rna-NM_001198100.1,306,350,339,214,101,408
MSTRG.5616.1,587,876,865,2728,3195,2236
MSTRG.9344.1,38,23,11,15,14,116
MSTRG.18426.1,54,93,95,61,70,101
rna-NM_102716.4,255,485,0,224,0,188
MSTRG.1327.2,36,65,42,224,157,287
MSTRG.6111.1,17,26,11,43,31,170
MSTRG.11982.1,455,841,546,847,860,958
rna-NM_103615.1,0,0,0,0,0,0
rna-NM_001333722.1,103,111,90,190,134,418
MSTRG.16880.1,366,467,434,1034,664,1305
rna-NM_001035847.1,0,0,0,0,0,0
MSTRG.1266.4,285,448,396,791,673,784
rna-NM_001332438.1,0,0,0,0,0,0
MSTRG.16002.1,195,277,213,174,105,434
rna-NM_103268.5,39,44,11,14,29,75
MSTRG.18568.1,25,20,13,148,131,130
rna-NM_104236.5,0,0,0,0,0,0
MSTRG.11710.1,39,26,38,41,30,237
rna-NM_179561.4,0,0,0,0,0,0
MSTRG.6995.1,246,428,360,1603,1610,1799
MSTRG.16690.1,109,221,133,70,61,66
rna-NM_001332714.1,0,0,0,0,0,0
MSTRG.12856.1,10217,15825,14767,23198,21686,21206
rna-NM_001084040.1,0,0,0,0,0,0
rna-NM_001332961.1,0,0,0,0,0,0
rna-NM_001332205.1,0,0,0,0,0,13
MSTRG.13922.1,86,158,102,71,58,151
rna-NM_105801.1,0,0,0,0,0,0
MSTRG.6105.1,2135,3426,2655,1331,1503,1459
MSTRG.18694.1,171,209,201,675,602,452
MSTRG.1337.3,87,178,125,190,149,414
MSTRG.1337.2,69,94,60,101,101,144
rna-NM_104693.3,0,0,0,0,0,0
rna-NM_001334234.1,0,0,0,0,0,0
rna-NM_103601.3,0,0,0,0,0,0
MSTRG.17522.1,124,201,170,460,463,487
rna-NM_100841.4,14672,19625,21110,42032,38899,34201
MSTRG.1258.2,65,121,109,141,118,93
MSTRG.4447.2,277,543,456,2045,1759,2100
rna-NM_104770.5,0,22,5,45,43,115
rna-NM_100940.7,3,6,0,19,15,7
MSTRG.4556.4,5,10,2,2,6,43
rna-NM_001036221.3,0,0,0,0,0,0
MSTRG.4556.1,240,336,268,368,342,446
MSTRG.12480.1,22,33,31,23,30,101
MSTRG.3351.1,32,27,30,33,31,102
MSTRG.12957.1,1643,2968,2276,2523,2447,3590
MSTRG.10603.1,89,73,72,213,118,130
rna-NM_001332480.1,0,0,0,0,0,0
rna-NR_139273.1,219,293,241,22,15,23
MSTRG.12695.1,681,1113,906,1023,752,1132
rna-NM_001333944.1,0,0,0,0,0,0
rna-NM_103582.4,0,419,358,390,0,0
MSTRG.1480.2,5,10,12,12,8,9
rna-NM_101157.3,0,0,0,0,0,0
MSTRG.8932.1,18,62,58,104,65,68
rna-NR_139592.1,0,0,0,0,0,0
MSTRG.10971.1,212,245,296,394,323,325
rna-NM_001332211.1,0,0,0,6,0,4
rna-gnl|JCVI|mRNA.AT1G03570.1,0,0,0,0,0,0
MSTRG.12947.1,320,443,455,1161,938,1279
rna-NM_202048.2,0,0,0,0,0,0
rna-NM_100855.4,0,0,0,0,0,0
MSTRG.14513.1,3,3,9,62,29,21
rna-NM_001123894.2,0,0,0,0,0,0
MSTRG.10355.1,1683,2763,2305,2377,2073,2612
MSTRG.15826.1,11,7,11,21,3,65
MSTRG.5834.1,7,0,0,26,21,19
rna-NM_103884.4,1105,1742,1554,1572,1289,2909
rna-NM_001334474.1,0,0,0,0,0,0
MSTRG.13135.1,340,513,441,582,516,735
rna-NM_104943.3,0,0,0,0,0,0
rna-NM_101435.3,1457,1692,1434,1894,1607,1853
MSTRG.10580.1,231,332,249,551,430,493
MSTRG.15736.1,900,1176,1139,1109,999,942
rna-NM_103181.2,0,0,3,3,3,3
MSTRG.13443.1,6,26,9,16,33,19
rna-NM_105600.4,51,85,97,272,301,332
rna-NM_001198360.1,0,0,0,0,0,0
MSTRG.12689.1,1225,1880,1778,3023,2190,2198
MSTRG.10349.1,34,27,44,75,75,229
rna-NM_001331499.1,23,35,156,16,14,32
rna-NM_001331986.1,0,0,0,0,0,0
rna-NM_001333002.1,0,0,1,0,0,5
rna-gnl|WGS:|mrna.AT1G36710-RA,0,0,0,0,0,0
rna-NM_001036129.3,0,0,0,0,0,0
rna-NM_148532.1,0,0,0,0,0,0
MSTRG.16472.1,263,490,319,206,216,176
rna-NM_102576.2,0,0,0,0,0,0
MSTRG.14455.1,1313,2159,1745,1454,1258,1571
MSTRG.17188.1,112,142,117,108,95,124
MSTRG.7797.1,56,82,57,136,78,330
MSTRG.2901.4,909,1304,1185,1185,1179,1253
MSTRG.2901.1,87,200,151,267,148,437
MSTRG.18521.1,1281,1846,1581,2072,1664,2712
MSTRG.6652.1,8282,12850,13244,33218,26740,26582
rna-NM_001333570.1,0,0,0,0,0,0
MSTRG.11386.1,554,821,783,1408,1328,2008
MSTRG.669.4,1394,1885,1944,2252,1993,2043
MSTRG.669.3,90,110,81,121,97,268
MSTRG.669.2,207,241,255,349,215,732
rna-NM_106658.3,0,0,0,0,0,0
MSTRG.927.3,2,4,3,31,15,18
rna-NM_103195.4,0,0,0,0,0,0
MSTRG.13697.1,26,30,27,250,246,210
rna-NM_001124084.1,0,0,0,0,0,0
rna-NR_139083.1,0,0,0,0,0,0
MSTRG.4374.2,1297,1888,1726,4771,4307,5812
MSTRG.7239.1,2126,3479,2860,2585,2570,2547
rna-NM_101145.3,0,0,0,0,0,0
rna-NM_202064.1,0,0,0,0,0,0
MSTRG.18093.1,588,843,766,104,112,109
rna-NM_001334729.1,0,0,0,0,0,0
MSTRG.2218.4,509,838,686,712,685,562
rna-NM_001123759.1,0,0,0,702,0,444
rna-NM_001036135.1,0,0,0,0,0,3
rna-NM_100045.5,0,5,4,29,25,38
rna-NM_001331956.1,0,0,0,0,0,0
MSTRG.12872.1,1143,1894,1602,3646,3795,4825
rna-NM_001333974.1,0,0,0,0,0,0
MSTRG.13049.1,1671,2599,2142,1902,1462,1780
MSTRG.11364.1,0,3,9,25,12,6
rna-NM_001197974.2,58,78,38,73,27,235
MSTRG.8114.1,130,151,181,152,104,155
rna-NM_001331673.1,0,0,0,0,0,0
rna-NM_179366.1,0,0,0,0,0,0
MSTRG.1421.3,228,252,287,407,378,269
MSTRG.5903.1,377,581,395,378,294,301
rna-NM_101159.2,8,0,31,98,72,144
rna-NM_001331960.1,0,0,0,0,0,0
rna-NM_001334668.1,0,0,3,0,0,0
MSTRG.12240.1,120,196,146,218,198,336
rna-NM_001333565.1,0,0,0,0,0,0
MSTRG.9951.1,30,53,24,16,39,135
MSTRG.17867.1,17,45,51,103,78,263
rna-gnl|WGS:|mrna.AT1G44150-RA,0,0,0,3,0,0
MSTRG.2222.2,4649,6347,6269,16945,16008,14115
rna-NM_101528.4,819,1499,1045,1547,1273,1499
rna-NM_103355.1,0,0,0,0,0,0
rna-NM_102613.2,0,0,0,0,0,0
MSTRG.14497.1,21,30,47,81,60,100
MSTRG.13661.1,259,460,389,339,339,560
rna-NM_001331663.1,2866,4251,3494,4467,3686,6641
MSTRG.16846.1,1327,1784,1312,991,895,1027
MSTRG.10761.1,2,17,0,4,2,15
rna-NM_001333848.1,0,0,0,0,0,0
MSTRG.13055.1,35,76,47,8,4,3
MSTRG.14361.1,1887,2214,2432,2852,2117,2722
rna-NM_148588.2,0,0,0,0,0,0
MSTRG.5913.1,1226,1913,1621,1536,1321,1498
rna-NM_179358.3,0,0,0,0,0,0
rna-NM_106473.6,0,0,0,3,0,6
rna-NM_104078.2,0,0,0,0,0,0
MSTRG.11164.1,2469,3200,2861,3542,2818,3382
MSTRG.15637.1,43,66,69,48,29,77
MSTRG.5930.1,407,618,515,391,296,506
MSTRG.13675.1,558,804,910,4499,3470,5067
rna-NM_102970.3,0,0,0,0,0,0
MSTRG.12255.1,63,121,117,71,60,114
MSTRG.16591.1,83,142,76,65,44,62
MSTRG.2476.2,215,366,260,432,412,326
MSTRG.13068.1,9,15,11,25,13,109
MSTRG.15592.1,38,50,85,146,91,291
rna-NM_001332456.1,0,0,0,0,0,0
rna-gnl|JCVI|mRNA.AT1G33000.1,1,0,0,0,0,0
MSTRG.6686.1,210,347,276,423,424,583
MSTRG.4770.7,183,302,156,32,18,51
MSTRG.39.9,370,601,460,906,787,990
rna-NM_101085.2,238,306,237,136,82,179
rna-NM_001160921.1,0,0,0,0,0,0
MSTRG.11039.1,518,974,741,1258,988,1205
MSTRG.3528.7,229,360,255,473,363,346
MSTRG.12511.1,4544,7165,7029,15822,14556,13999
rna-NM_101510.6,6,10,0,11,0,0
rna-NM_001332468.1,0,0,0,0,0,0
MSTRG.9979.1,1100,1652,1477,813,667,876
MSTRG.14938.1,74,90,91,18,22,30
MSTRG.9661.1,239,361,310,446,374,488
MSTRG.11025.1,134,150,169,94,46,56
MSTRG.5104.3,585,1035,866,816,758,769
MSTRG.5104.2,111,145,170,88,97,245
rna-NM_101500.4,40,115,61,80,81,155
rna-NM_001331958.1,0,0,0,0,0,0
MSTRG.8240.1,3496,5098,4838,5828,5639,6311
MSTRG.11909.1,1698,2491,2221,1847,1765,2385
MSTRG.9606.1,605,936,663,857,810,923
MSTRG.17267.1,34,50,39,70,56,46
MSTRG.11537.1,1962,3111,2633,7174,6702,7866
MSTRG.16584.1,264,417,373,768,786,684
rna-NM_001332319.1,0,0,0,0,0,0
MSTRG.8276.1,321,439,515,451,540,608
MSTRG.3130.1,105,122,100,97,61,131
rna-NR_139426.1,0,0,0,0,0,0
rna-NR_139717.1,0,1,0,0,0,2
rna-NM_001332157.1,0,0,0,0,0,0
MSTRG.8177.1,151,202,151,96,82,217
rna-NM_202253.1,0,0,0,0,0,0
rna-gnl|JCVI|mRNA.AT1G07800.1,0,0,0,0,0,0
MSTRG.12321.1,1856,2964,2298,2996,2695,3629
rna-NM_001334689.1,0,0,0,0,0,6
rna-NR_139674.1,377,569,583,397,477,348
MSTRG.3786.4,34,38,58,32,36,80
MSTRG.9674.1,218,391,292,185,152,233
MSTRG.17277.1,292,397,404,380,253,362
rna-NM_148596.5,0,0,0,0,0,0
MSTRG.6507.1,321,454,437,613,727,725
MSTRG.17799.1,666,961,868,364,333,358
MSTRG.4758.2,3035,4324,4189,6069,5936,5405
MSTRG.14103.1,179,277,175,74,88,356
rna-NM_001333820.1,0,0,0,0,0,0
rna-NM_001331884.1,368,487,346,206,195,210
rna-NR_139454.1,0,0,0,0,0,0
MSTRG.15007.1,27,38,34,18,11,54
MSTRG.11291.1,725,1138,851,1263,1139,1154
MSTRG.13209.1,40,86,66,32,35,64
MSTRG.15116.1,77,128,135,178,141,398
MSTRG.15186.1,547,915,745,1014,1069,1172
MSTRG.14280.1,6,11,6,60,19,51
MSTRG.5611.1,344,466,327,384,423,271
rna-NR_139960.1,0,3,0,0,3,7
rna-NM_001333725.1,0,0,0,0,0,0
MSTRG.8609.1,2285,3244,2442,1252,1016,1155
rna-gnl|JCVI|mRNA.AT1G50070.1,0,0,0,0,0,0
MSTRG.6464.1,10,7,7,17,2,23
MSTRG.6178.1,907,1615,1299,1290,1351,1247
rna-NM_001334289.1,0,0,0,0,0,0
rna-NM_001333699.1,0,0,4925,295,0,10
MSTRG.12713.1,64,125,80,40,20,55
MSTRG.6486.1,78,97,98,190,152,475
MSTRG.6416.1,586,965,737,672,643,756
rna-NM_101184.6,183,217,170,153,105,124
rna-NM_001198129.1,440,717,577,616,466,1023
rna-NM_179529.2,0,0,0,0,0,0
MSTRG.273.2,1063,1479,1291,876,858,457
MSTRG.15017.1,1722,2604,1925,874,929,941
rna-NM_001084047.2,0,0,3,9,7,11
rna-NM_101645.3,273,358,0,603,374,0
MSTRG.9552.1,1094,1649,1233,1232,1216,1196
rna-NM_001334295.1,0,0,0,0,0,0
rna-NM_001349572.1,0,0,0,0,0,0
MSTRG.1615.3,94,151,170,261,221,186
rna-NR_138865.1,0,0,0,0,0,0
MSTRG.8652.1,158,206,221,161,151,156
rna-NM_100236.2,283,528,396,281,230,285
rna-NM_106676.2,0,0,0,0,0,0
rna-NM_001332630.1,2,0,0,0,0,0
MSTRG.3587.2,19,51,40,87,86,251
MSTRG.3496.6,1105,1813,1388,1872,0,2026
MSTRG.3496.5,34,72,50,76,34,311
rna-NM_100547.3,0,0,0,0,0,0
MSTRG.11748.1,7,17,9,41,9,132
MSTRG.9707.1,98,136,130,121,79,211
MSTRG.4391.3,25,5,48,28,41,9
MSTRG.17100.1,19,36,25,50,31,111
MSTRG.2399.1,1031,1414,1587,4462,4118,4371
rna-NM_001331311.1,0,94,77,0,0,0
rna-NM_001334706.1,0,4,0,30,0,0
rna-gnl|WGS:|mrna.AT1G76911-RA,0,0,0,0,0,0
MSTRG.7972.1,100,126,179,184,127,185
rna-NM_001332259.1,0,29,24,39,54,325
MSTRG.158.3,710,1088,793,513,332,399
rna-NR_138871.1,497,772,507,682,823,603
MSTRG.8628.1,826,1317,958,566,525,690
MSTRG.8931.1,30,30,23,21,27,58
rna-NM_202448.1,0,0,0,0,0,0
MSTRG.8426.1,65,96,81,50,50,167
rna-NM_001333599.1,0,0,0,0,0,0
rna-NR_143469.1,0,0,0,0,0,0
rna-NM_001332809.1,0,0,0,0,0,0
MSTRG.5837.1,69,125,111,114,132,319
rna-NM_104944.1,64,81,64,178,133,287
